date,time,url
2025-02-17,17:30:00,https://www.wodboard.com/events/3353679
2025-02-19,19:00:00,https://www.wodboard.com/events/3128516
2025-02-21,12:00:00,https://www.wodboard.com/events/3128547
2025-02-17,18:45:00,https://www.wodboard.com/events/3355142
2025-02-21,17:30:00,https://www.wodboard.com/events/3128548
2025-02-24,17:30:00,https://www.wodboard.com/events/3353680
2025-02-26,19:00:00,https://www.wodboard.com/events/3153039
2025-02-28,12:00:00,https://www.wodboard.com/events/3153060
2025-02-24,18:45:00,https://www.wodboard.com/events/3355143
2025-02-28,17:30:00,https://www.wodboard.com/events/3153061
2025-02-24,17:30:00,https://www.wodboard.com/events/3353680
2025-02-26,19:00:00,https://www.wodboard.com/events/3153039
2025-02-28,12:00:00,https://www.wodboard.com/events/3153060
2025-02-24,18:45:00,https://www.wodboard.com/events/3355143
2025-02-28,17:30:00,https://www.wodboard.com/events/3153061
2025-03-03,17:30:00,https://www.wodboard.com/events/3353681
2025-03-05,19:00:00,https://www.wodboard.com/events/3175747
2025-03-07,12:00:00,https://www.wodboard.com/events/3175771
2025-03-03,18:45:00,https://www.wodboard.com/events/3355144
2025-03-07,17:30:00,https://www.wodboard.com/events/3175772
2025-03-10,17:30:00,https://www.wodboard.com/events/3353682
2025-03-12,19:00:00,https://www.wodboard.com/events/3195012
2025-03-14,12:00:00,https://www.wodboard.com/events/3195036
2025-03-10,18:45:00,https://www.wodboard.com/events/3355145
2025-03-14,17:30:00,https://www.wodboard.com/events/3195037
2025-03-17,17:30:00,https://www.wodboard.com/events/3353683
2025-03-19,19:00:00,https://www.wodboard.com/events/3214806
2025-03-21,12:00:00,https://www.wodboard.com/events/3214830
2025-03-17,18:45:00,https://www.wodboard.com/events/3355146
2025-03-21,17:30:00,https://www.wodboard.com/events/3214831
2025-03-24,17:30:00,https://www.wodboard.com/events/3353684
2025-03-26,19:00:00,https://www.wodboard.com/events/3243362
2025-03-28,12:00:00,https://www.wodboard.com/events/3243386
2025-03-24,18:45:00,https://www.wodboard.com/events/3355147
2025-03-28,17:30:00,https://www.wodboard.com/events/3243387
2025-03-31,17:30:00,https://www.wodboard.com/events/3353685
2025-04-02,19:00:00,https://www.wodboard.com/events/3267605
2025-04-04,12:00:00,https://www.wodboard.com/events/3267629
2025-03-31,18:45:00,https://www.wodboard.com/events/3355148
2025-04-04,17:30:00,https://www.wodboard.com/events/3267630
2025-03-31,17:30:00,https://www.wodboard.com/events/3353685
2025-04-02,19:00:00,https://www.wodboard.com/events/3267605
2025-04-04,12:00:00,https://www.wodboard.com/events/3267629
2025-03-31,18:45:00,https://www.wodboard.com/events/3355148
2025-04-04,17:30:00,https://www.wodboard.com/events/3267630
2025-04-07,17:30:00,https://www.wodboard.com/events/3353686
2025-04-09,19:00:00,https://www.wodboard.com/events/3295179
2025-04-11,12:00:00,https://www.wodboard.com/events/3295203
2025-04-07,18:45:00,https://www.wodboard.com/events/3355149
2025-04-11,17:30:00,https://www.wodboard.com/events/3295204
2025-04-14,17:30:00,https://www.wodboard.com/events/3353687
2025-04-16,19:00:00,https://www.wodboard.com/events/3322723
2025-04-18,12:00:00,https://www.wodboard.com/events/3322747
2025-04-14,18:45:00,https://www.wodboard.com/events/3355150
2025-04-18,17:30:00,https://www.wodboard.com/events/3322749
2025-04-21,17:30:00,https://www.wodboard.com/events/3353688
2025-04-23,19:00:00,https://www.wodboard.com/events/3349433
2025-04-25,12:00:00,https://www.wodboard.com/events/3349457
2025-04-21,18:45:00,https://www.wodboard.com/events/3355151
2025-04-25,17:30:00,https://www.wodboard.com/events/3349458
2025-04-28,17:30:00,https://www.wodboard.com/events/3379552
2025-04-30,19:00:00,https://www.wodboard.com/events/3375608
2025-05-02,12:00:00,https://www.wodboard.com/events/3375632
2025-04-28,18:45:00,https://www.wodboard.com/events/3375586
2025-05-02,17:30:00,https://www.wodboard.com/events/3375633
2025-04-28,17:30:00,https://www.wodboard.com/events/3379552
2025-04-30,19:00:00,https://www.wodboard.com/events/3375608
2025-05-02,12:00:00,https://www.wodboard.com/events/3375632
2025-04-28,18:45:00,https://www.wodboard.com/events/3375586
2025-05-02,17:30:00,https://www.wodboard.com/events/3375633
2025-05-05,17:30:00,https://www.wodboard.com/events/3405366
2025-05-07,19:00:00,https://www.wodboard.com/events/3401189
2025-05-09,12:00:00,https://www.wodboard.com/events/3401214
2025-05-05,18:45:00,https://www.wodboard.com/events/3401168
2025-05-09,17:30:00,https://www.wodboard.com/events/3401215
2025-05-12,17:30:00,https://www.wodboard.com/events/3432518
2025-05-14,19:00:00,https://www.wodboard.com/events/3428366
2025-05-16,12:00:00,https://www.wodboard.com/events/3428389
2025-05-12,18:45:00,https://www.wodboard.com/events/3428344
2025-05-16,17:30:00,https://www.wodboard.com/events/3428390
2025-05-19,17:30:00,https://www.wodboard.com/events/3462827
2025-05-21,19:00:00,https://www.wodboard.com/events/3458755
2025-05-23,12:00:00,https://www.wodboard.com/events/3458779
2025-05-19,18:45:00,https://www.wodboard.com/events/3458733
